Date,Open,High,Low,Close,Volume
27-May-21,57.45,66,56.75,63.53,"15,526,303"
28-May-21,65.74,67.2,55.36,55.5,"11,751,365"
1-Jun-21,58.37,63.75,56.77,62.26,"9,625,610"
2-Jun-21,62.22,73.5,61.08,70.56,"16,019,220"
3-Jun-21,66.43,68.61,60.53,64.55,"7,999,955"
4-Jun-21,64.01,66.25,61.44,62.09,"3,637,515"
7-Jun-21,64.5,70.5,63.8,70,"6,051,490"
8-Jun-21,73,86.17,70.25,75,"17,439,118"
9-Jun-21,75.78,82,72.88,75.64,"13,429,309"
10-Jun-21,70.5,72,52.75,55.1,"22,980,152"
11-Jun-21,55.59,60.28,51.53,58.34,"15,580,774"
14-Jun-21,59.13,59.5,54.8,57.36,"7,132,627"
15-Jun-21,56.59,57.31,52,55.63,"7,301,935"
16-Jun-21,53.81,57.18,52.25,55.74,"5,564,827"
17-Jun-21,56,58.42,55.37,55.9,"4,608,573"
18-Jun-21,55.05,55.87,53.25,53.46,"4,320,317"
21-Jun-21,54.24,54.6,49.25,50.09,"5,120,186"
22-Jun-21,54.43,56.47,52.29,55.1,"8,200,177"
23-Jun-21,55.36,55.64,53.53,54.84,"3,555,090"
24-Jun-21,55.29,56.86,52.9,53.08,"3,863,339"
25-Jun-21,53.5,53.55,49.63,52.38,"12,692,749"
28-Jun-21,52.81,56.11,52.55,53.31,"4,879,364"
29-Jun-21,53.4,53.81,52,52.72,"2,480,009"
30-Jun-21,52.42,53.82,51.73,53.54,"2,539,648"
1-Jul-21,53.35,54.21,50.5,51.09,"2,742,112"
2-Jul-21,51.2,51.36,49.13,50.71,"2,602,729"
6-Jul-21,51,51.19,48.43,49.89,"2,768,062"
7-Jul-21,49,49.38,44.39,47.67,"4,239,500"
8-Jul-21,44.96,48.56,44.88,47.85,"2,857,514"
9-Jul-21,47.72,48.7,46.69,47.81,"1,582,925"
12-Jul-21,47.86,49.44,46.86,47.31,"1,636,324"
13-Jul-21,46.92,47.2,44.75,45.02,"2,397,944"
14-Jul-21,45.12,45.6,41.27,41.91,"3,913,770"
15-Jul-21,40,43,39.5,41.71,"4,298,589"
16-Jul-21,42.54,44.87,41.58,42.26,"3,287,929"
19-Jul-21,40.83,44,40.31,43.37,"2,436,934"
20-Jul-21,43.48,48.41,43.11,47.8,"3,101,090"
21-Jul-21,46.95,48.88,45.53,46.45,"2,229,184"
22-Jul-21,46.33,46.92,44.04,44.71,"1,412,988"
23-Jul-21,45.25,45.4,43.46,45.09,"1,316,168"
26-Jul-21,45.09,46.51,44.69,45.99,"1,260,593"
27-Jul-21,45.75,46.25,44.17,44.64,"1,214,775"
28-Jul-21,43.93,44.28,41.07,42.28,"4,100,845"
29-Jul-21,42.65,43.47,41.13,41.22,"2,239,995"
30-Jul-21,41.25,41.81,39.72,40.28,"2,377,118"
2-Aug-21,40.5,40.9,38.77,39.41,"2,532,931"
3-Aug-21,39.19,39.72,37.05,38.19,"14,450,624"
4-Aug-21,38.18,39.45,36.42,36.7,"2,393,484"
5-Aug-21,37,39.4,36.31,38.36,"2,412,123"
6-Aug-21,38.65,39.13,37.58,37.94,"1,352,689"
9-Aug-21,37.95,41.18,37.67,40.28,"2,249,204"
10-Aug-21,40.34,41.72,38.84,39.76,"1,623,334"
11-Aug-21,39.61,39.76,38.66,39.7,"945,428"
12-Aug-21,39.97,41.07,39.33,40.59,"1,319,832"
13-Aug-21,40.12,40.89,39.35,40.63,"1,014,751"
16-Aug-21,40.25,42.47,39.79,40.98,"1,574,877"
17-Aug-21,40.3,42.37,40.28,40.89,"1,215,938"
18-Aug-21,40.81,41.4,39.19,39.26,"1,411,842"
19-Aug-21,39.19,39.5,37.7,38.23,"1,196,548"
20-Aug-21,38.45,40.02,38.31,39.83,"1,154,858"
23-Aug-21,40.6,41.82,39.89,41.22,"1,343,032"
