Date,Open,High,Low,Close,Volume
3-Aug-20,74.33,74.52,73.28,73.72,"2,331,514"
4-Aug-20,73.83,74.28,72.93,73.25,"1,903,489"
5-Aug-20,73.47,74.12,73.17,73.68,"1,979,957"
6-Aug-20,73.59,75.12,73.3,75.01,"1,995,368"
7-Aug-20,75,75.84,74.08,74.72,"1,577,826"
10-Aug-20,74.36,75.2,73.65,74.81,"1,289,530"
11-Aug-20,74.62,75.5,73.9,74.02,"1,454,365"
12-Aug-20,74.28,75.62,74.26,75.33,"1,437,655"
13-Aug-20,75.52,76.86,75.4,75.92,"1,455,208"
14-Aug-20,75.78,76.1,75.14,75.39,"1,355,200"
17-Aug-20,75.73,76.28,75.4,75.9,"1,378,600"
18-Aug-20,76.31,78.12,76.19,77.93,"2,027,086"
19-Aug-20,77.67,78.68,77.2,77.38,"1,660,611"
20-Aug-20,77.17,79.29,76.91,79.09,"1,706,877"
21-Aug-20,78.85,79.89,78.4,79.02,"1,446,453"
24-Aug-20,79.7,80.71,79.03,79.41,"1,410,229"
25-Aug-20,79.1,80.58,79.1,80.41,"2,132,084"
26-Aug-20,80.4,82.96,80.18,82.62,"3,581,072"
27-Aug-20,82.68,82.75,81.29,81.72,"1,861,602"
28-Aug-20,81.67,82.36,81.54,82.22,"1,499,782"
31-Aug-20,82.39,82.4,81.52,81.71,"1,823,406"
1-Sep-20,81.83,83.29,81.61,83.04,"1,826,655"
2-Sep-20,83.69,86.66,83.32,86.41,"2,511,180"
3-Sep-20,85.49,85.49,80.75,82.09,"3,107,763"
4-Sep-20,81.21,82.26,77.38,79.55,"2,608,568"
8-Sep-20,76.68,78.19,76.4,76.62,"2,610,884"
9-Sep-20,77.88,78.45,76.8,77.85,"1,774,704"
10-Sep-20,78.03,79.2,76.29,76.6,"1,618,557"
11-Sep-20,76.8,78.76,74.87,76.04,"1,597,087"
14-Sep-20,76.95,78.2,75.79,75.96,"1,696,589"
15-Sep-20,76.8,77.98,76.59,77.07,"1,331,082"
16-Sep-20,77.78,78.1,75.99,76.05,"1,312,299"
17-Sep-20,74.8,75.41,73.5,74.78,"1,879,751"
18-Sep-20,74.9,75.15,71.86,73,"3,103,882"
21-Sep-20,72,72.42,70.33,71.56,"2,888,827"
22-Sep-20,72.5,73.48,71.73,73.27,"1,583,201"
23-Sep-20,72.94,73.05,70.39,70.76,"1,657,350"
24-Sep-20,70.55,72.19,70.49,71.41,"1,450,216"
25-Sep-20,71.63,72.5,70.67,72.25,"1,323,375"
28-Sep-20,73.71,73.84,72.47,73.23,"2,007,941"
29-Sep-20,73.52,73.83,72.94,73.47,"979,102"
30-Sep-20,73.34,74.49,72.99,73.48,"1,701,608"
1-Oct-20,74.21,74.95,73.96,74.5,"1,779,497"
2-Oct-20,73.1,74.16,72.55,72.92,"1,284,071"
5-Oct-20,73.31,74.41,73.21,74.3,"1,113,257"
6-Oct-20,73.78,74.34,72.43,72.67,"1,245,423"
7-Oct-20,73.21,73.45,71.8,73.01,"1,746,156"
8-Oct-20,73.25,74.5,73.25,74.3,"1,187,831"
9-Oct-20,74.74,75.83,74.47,75.76,"1,435,542"
12-Oct-20,77.15,79.69,76.63,78.46,"2,482,560"
13-Oct-20,79.19,79.5,78.16,78.58,"1,601,043"
14-Oct-20,78.93,79.38,77.53,78.4,"1,930,990"
15-Oct-20,77.36,78.76,77.25,77.96,"1,540,817"
16-Oct-20,78.29,79.06,78.15,78.65,"1,435,137"
19-Oct-20,79.02,79.41,76.4,76.73,"1,607,075"
20-Oct-20,76.35,78.88,76.28,77.8,"2,242,572"
21-Oct-20,78.67,80.94,78.58,79.67,"2,568,345"
22-Oct-20,79.65,81.1,79.25,80.77,"1,434,042"
23-Oct-20,81.3,82.12,81.03,82.05,"1,375,844"
26-Oct-20,81.25,81.91,78.83,79.52,"1,853,254"
27-Oct-20,79.78,80.34,79.14,80.21,"1,229,002"
28-Oct-20,77.99,78.07,75.73,75.83,"1,833,959"
29-Oct-20,76.12,79.69,76.11,78.36,"2,003,064"
30-Oct-20,83.61,84.35,80.22,81.05,"4,330,862"
2-Nov-20,81.41,83.04,80.8,81.3,"2,535,446"
3-Nov-20,81.59,83.09,80.83,82.51,"1,661,653"
4-Nov-20,85.51,88.57,85.3,87.46,"3,570,927"
5-Nov-20,89.05,89.68,87.53,88.17,"2,065,812"
6-Nov-20,87.7,88.62,87.02,88.09,"1,661,225"
9-Nov-20,89.55,90.9,88,88.15,"2,268,270"
10-Nov-20,86.55,88.15,85.87,87.02,"2,636,142"
11-Nov-20,87.5,88.21,87.37,87.64,"1,263,966"
12-Nov-20,87.38,88.41,87.28,87.49,"1,248,754"
13-Nov-20,87.88,89.05,87.23,88.85,"1,500,574"
16-Nov-20,88.59,89.95,88.38,89.07,"1,246,785"
17-Nov-20,88.85,89.25,88.35,88.51,"1,147,114"
18-Nov-20,88.26,88.67,87.31,87.34,"1,173,466"
19-Nov-20,86.92,88.48,86.85,88.2,"1,249,910"
20-Nov-20,88.26,88.7,87.09,87.11,"2,313,655"
23-Nov-20,87.48,87.7,85.89,86.74,"2,161,975"
24-Nov-20,86.53,88.58,86.38,88.44,"1,579,703"
25-Nov-20,88.64,88.93,87.83,88.57,"1,046,122"
27-Nov-20,88.65,90.2,88.62,89.66,"884,916"
30-Nov-20,89.06,89.4,87.75,88.04,"1,823,836"
1-Dec-20,88.72,91.24,88.47,89.91,"1,739,045"
2-Dec-20,89.91,91.78,89.47,91.4,"1,222,032"
3-Dec-20,91.2,92.36,91.13,91.34,"1,227,298"
4-Dec-20,91.23,91.66,90.85,91.4,"1,378,166"
7-Dec-20,90.95,91.62,90.29,90.97,"1,320,946"
8-Dec-20,90.51,91.1,89.81,90.93,"1,096,319"
9-Dec-20,90.6,91.71,88.39,89.21,"1,507,558"
10-Dec-20,88.49,89.07,87.02,88.77,"1,362,848"
11-Dec-20,88.15,89.22,88,89.09,"1,220,651"
14-Dec-20,88.75,89.87,87.86,88,"1,600,173"
15-Dec-20,88.22,88.57,87.5,88.39,"1,482,261"
16-Dec-20,88.64,88.65,87.8,88.15,"1,513,543"
17-Dec-20,88.43,88.59,86.93,87.4,"1,624,744"
18-Dec-20,87.71,87.76,86.01,86.55,"4,016,353"
21-Dec-20,85.68,87.04,84.95,86.97,"1,828,378"
22-Dec-20,86.72,86.87,85.63,86.18,"938,346"
